instanceFile,instanceId,sizeTag,C_AUG_LS_over_NOAUG_NOLS_percent
j30.sm/j301_1.sm,j301_1,j30,100
j60.sm/j601_1.sm,j601_1,j60,100
j90.sm/j9010_1.sm,j9010_1,j90,98
j120.sm/j1201_1.sm,j1201_1,j120,100
j30.sm/j301_1.sm,j301_1,j30,78
